test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
hrv,5,0.919,0.898,0.941,0.99,dan,2
hrv,6,0.924,0.914,0.934,0.99,dan,2
hrv,7,0.918,0.903,0.934,0.99,dan,2
hrv,8,0.921,0.899,0.944,0.99,dan,2
hrv,9,0.898,0.881,0.915,0.988,dan,2
hrv,10,0.906,0.884,0.93,0.989,dan,2
hrv,11,0.913,0.895,0.931,0.99,dan,2
hrv,12,0.921,0.906,0.936,0.99,dan,2
hrv,13,0.918,0.904,0.933,0.99,dan,2
hrv,14,0.916,0.898,0.934,0.99,dan,2
hrv,15,0.916,0.899,0.934,0.99,dan,2
srb,1,0.877,0.865,0.89,0.985,dan,2
srb,2,0.885,0.864,0.906,0.985,dan,2
srb,3,0.877,0.861,0.895,0.984,dan,2
srb,4,0.882,0.868,0.896,0.985,dan,2
srb,5,0.909,0.903,0.915,0.987,dan,2
srb,6,0.909,0.914,0.903,0.985,dan,2
srb,7,0.919,0.922,0.916,0.987,dan,2
srb,8,0.919,0.915,0.923,0.987,dan,2
srb,9,0.901,0.903,0.9,0.986,dan,2
srb,10,0.912,0.911,0.913,0.987,dan,2
srb,11,0.91,0.91,0.911,0.987,dan,2
srb,12,0.913,0.913,0.913,0.987,dan,2
srb,13,0.911,0.912,0.91,0.987,dan,2
srb,14,0.912,0.912,0.912,0.987,dan,2
srb,15,0.911,0.911,0.911,0.987,dan,2
dan,1,0.839,0.847,0.831,0.988,dan,1
dan,2,0.849,0.853,0.844,0.988,dan,1
dan,3,0.846,0.85,0.842,0.988,dan,1
dan,4,0.853,0.862,0.844,0.988,dan,1
dan,5,0.849,0.865,0.834,0.988,dan,1
dan,6,0.846,0.866,0.826,0.988,dan,1
dan,7,0.853,0.864,0.842,0.988,dan,1
dan,8,0.857,0.865,0.849,0.989,dan,1
dan,9,0.86,0.876,0.844,0.989,dan,1
dan,10,0.865,0.873,0.857,0.989,dan,1
dan,11,0.859,0.864,0.855,0.988,dan,1
dan,12,0.862,0.872,0.852,0.989,dan,1
dan,13,0.855,0.867,0.844,0.988,dan,1
dan,14,0.859,0.865,0.852,0.988,dan,1
dan,15,0.86,0.868,0.852,0.988,dan,1
slk,1,0.732,0.676,0.799,0.968,eng,2
slk,2,0.761,0.727,0.799,0.97,eng,2
slk,3,0.769,0.768,0.771,0.97,eng,2
slk,4,0.758,0.715,0.808,0.967,eng,2
slk,5,0.766,0.73,0.805,0.969,eng,2
slk,6,0.778,0.759,0.799,0.97,eng,2
slk,7,0.787,0.783,0.792,0.97,eng,2
slk,8,0.774,0.771,0.778,0.97,eng,2
slk,9,0.767,0.752,0.783,0.969,eng,2
slk,10,0.773,0.755,0.792,0.97,eng,2
slk,11,0.786,0.8,0.771,0.972,eng,2
slk,12,0.774,0.76,0.789,0.97,eng,2
slk,13,0.775,0.766,0.785,0.97,eng,2
