test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
eng,5,0.704,0.703,0.705,0.965,chi,1
eng,6,0.674,0.695,0.655,0.963,chi,1
eng,7,0.668,0.667,0.669,0.963,chi,1
eng,8,0.652,0.647,0.658,0.962,chi,1
eng,9,0.656,0.647,0.665,0.961,chi,1
eng,10,0.646,0.645,0.647,0.961,chi,1
eng,11,0.613,0.622,0.604,0.959,chi,1
eng,12,0.657,0.652,0.662,0.963,chi,1
eng,13,0.664,0.682,0.647,0.963,chi,1
eng,14,0.615,0.615,0.615,0.959,chi,1
eng,15,0.667,0.668,0.665,0.962,chi,1
eng,16,0.647,0.632,0.662,0.96,chi,1
eng,17,0.65,0.639,0.662,0.96,chi,1
eng,18,0.655,0.651,0.658,0.96,chi,1
eng,19,0.651,0.644,0.658,0.96,chi,1
eng,20,0.656,0.65,0.662,0.96,chi,1
swe,1,0.907,0.9,0.914,0.994,chi,1
swe,2,0.906,0.88,0.934,0.994,chi,1
swe,3,0.908,0.888,0.929,0.995,chi,1
swe,4,0.896,0.898,0.893,0.994,chi,1
swe,5,0.891,0.893,0.888,0.994,chi,1
swe,6,0.898,0.903,0.893,0.994,chi,1
swe,7,0.896,0.894,0.898,0.994,chi,1
swe,8,0.88,0.887,0.873,0.993,chi,1
swe,9,0.866,0.86,0.873,0.993,chi,1
swe,10,0.882,0.871,0.893,0.994,chi,1
swe,11,0.888,0.888,0.888,0.994,chi,1
swe,12,0.884,0.879,0.888,0.994,chi,1
swe,13,0.892,0.902,0.883,0.994,chi,1
swe,14,0.883,0.883,0.883,0.994,chi,1
swe,15,0.881,0.879,0.883,0.994,chi,1
swe,16,0.874,0.866,0.883,0.993,chi,1
swe,17,0.885,0.888,0.883,0.994,chi,1
swe,18,0.876,0.874,0.878,0.993,chi,1
swe,19,0.877,0.87,0.883,0.993,chi,1
swe,20,0.869,0.861,0.878,0.993,chi,1
nor,1,0.869,0.847,0.892,0.99,chi,1
nor,2,0.853,0.816,0.892,0.988,chi,1
nor,3,0.86,0.823,0.9,0.987,chi,1
nor,4,0.86,0.832,0.889,0.988,chi,1
nor,5,0.881,0.86,0.903,0.989,chi,1
nor,6,0.86,0.842,0.878,0.988,chi,1
nor,7,0.86,0.83,0.892,0.988,chi,1
nor,8,0.856,0.831,0.882,0.988,chi,1
nor,9,0.845,0.814,0.878,0.986,chi,1
nor,10,0.845,0.812,0.882,0.986,chi,1
nor,11,0.83,0.803,0.86,0.987,chi,1
nor,12,0.864,0.833,0.896,0.988,chi,1
nor,13,0.857,0.844,0.871,0.987,chi,1
nor,14,0.839,0.81,0.871,0.987,chi,1
nor,15,0.847,0.822,0.875,0.986,chi,1
nor,16,0.85,0.82,0.882,0.987,chi,1
nor,17,0.866,0.841,0.892,0.988,chi,1
nor,18,0.865,0.838,0.892,0.987,chi,1
nor,19,0.859,0.827,0.892,0.986,chi,1
nor,20,0.856,0.822,0.892,0.987,chi,1
heb,1,0.688,0.682,0.695,0.971,chi,4
heb,2,0.649,0.609,0.695,0.963,chi,4
heb,3,0.658,0.612,0.711,0.964,chi,4
heb,4,0.665,0.622,0.713,0.963,chi,4
heb,5,0.667,0.65,0.686,0.966,chi,4
heb,6,0.683,0.658,0.711,0.967,chi,4
heb,7,0.687,0.648,0.731,0.964,chi,4
heb,8,0.679,0.64,0.722,0.963,chi,4
heb,9,0.666,0.623,0.715,0.965,chi,4
heb,10,0.665,0.628,0.706,0.965,chi,4
heb,11,0.66,0.634,0.688,0.966,chi,4
heb,12,0.642,0.611,0.677,0.964,chi,4
heb,13,0.648,0.624,0.674,0.964,chi,4
heb,14,0.658,0.625,0.695,0.963,chi,4
heb,15,0.658,0.62,0.702,0.962,chi,4
heb,16,0.637,0.59,0.692,0.962,chi,4
heb,17,0.649,0.606,0.699,0.963,chi,4
heb,18,0.659,0.619,0.704,0.961,chi,4
heb,19,0.654,0.609,0.706,0.962,chi,4
heb,20,0.653,0.608,0.706,0.962,chi,4
rom,1,0.805,0.851,0.764,0.982,chi,3
rom,2,0.81,0.812,0.809,0.982,chi,3
rom,3,0.806,0.826,0.787,0.982,chi,3
rom,4,0.798,0.815,0.781,0.981,chi,3
rom,5,0.774,0.788,0.76,0.981,chi,3
rom,6,0.782,0.823,0.745,0.981,chi,3
rom,7,0.774,0.801,0.749,0.981,chi,3
rom,8,0.756,0.779,0.735,0.98,chi,3
rom,9,0.769,0.779,0.758,0.982,chi,3
rom,10,0.77,0.793,0.749,0.982,chi,3
rom,11,0.783,0.82,0.749,0.981,chi,3
rom,12,0.783,0.816,0.752,0.982,chi,3
rom,13,0.782,0.823,0.745,0.982,chi,3
rom,14,0.783,0.822,0.749,0.982,chi,3
rom,15,0.774,0.802,0.747,0.981,chi,3
rom,16,0.777,0.797,0.758,0.982,chi,3
rom,17,0.775,0.809,0.745,0.981,chi,3
rom,18,0.784,0.819,0.752,0.982,chi,3
rom,19,0.784,0.812,0.758,0.982,chi,3
rom,20,0.786,0.818,0.756,0.982,chi,3
por,1,0.868,0.874,0.862,0.984,chi,3
por,2,0.875,0.868,0.883,0.985,chi,3
por,3,0.879,0.871,0.888,0.985,chi,3
por,4,0.861,0.857,0.866,0.984,chi,3
por,5,0.864,0.864,0.864,0.984,chi,3
por,6,0.863,0.877,0.85,0.983,chi,3
por,7,0.866,0.872,0.861,0.983,chi,3
por,8,0.857,0.86,0.855,0.983,chi,3
por,9,0.861,0.863,0.859,0.983,chi,3
por,10,0.861,0.868,0.855,0.983,chi,3
por,11,0.855,0.868,0.842,0.983,chi,3
por,12,0.864,0.867,0.861,0.983,chi,3
por,13,0.864,0.876,0.853,0.984,chi,3
por,14,0.855,0.858,0.851,0.983,chi,3
por,15,0.87,0.88,0.861,0.983,chi,3
por,16,0.855,0.852,0.857,0.983,chi,3
por,17,0.861,0.858,0.864,0.983,chi,3
por,18,0.859,0.863,0.855,0.983,chi,3
por,19,0.856,0.854,0.859,0.983,chi,3
por,20,0.858,0.856,0.861,0.983,chi,3
ger,1,0.797,0.788,0.806,0.975,chi,1
ger,2,0.814,0.794,0.835,0.976,chi,1
ger,3,0.811,0.786,0.838,0.976,chi,1
ger,4,0.813,0.804,0.822,0.977,chi,1
ger,5,0.811,0.801,0.821,0.977,chi,1
ger,6,0.818,0.809,0.827,0.976,chi,1
ger,7,0.81,0.799,0.822,0.976,chi,1
ger,8,0.807,0.784,0.83,0.975,chi,1
ger,9,0.804,0.777,0.832,0.975,chi,1
ger,10,0.807,0.793,0.821,0.975,chi,1
ger,11,0.81,0.797,0.824,0.975,chi,1
ger,12,0.814,0.796,0.834,0.976,chi,1
ger,13,0.804,0.801,0.808,0.975,chi,1
ger,14,0.811,0.788,0.835,0.975,chi,1
ger,15,0.795,0.785,0.806,0.974,chi,1
ger,16,0.81,0.787,0.834,0.975,chi,1
ger,17,0.804,0.784,0.824,0.975,chi,1
ger,18,0.811,0.795,0.827,0.975,chi,1
ger,19,0.813,0.794,0.832,0.976,chi,1
ger,20,0.815,0.795,0.835,0.976,chi,1
chi,1,0.817,0.796,0.84,0.976,chi,5
chi,2,0.832,0.803,0.862,0.975,chi,5
chi,3,0.843,0.831,0.856,0.977,chi,5
chi,4,0.843,0.829,0.858,0.977,chi,5
chi,5,0.848,0.843,0.853,0.979,chi,5
chi,6,0.858,0.856,0.86,0.98,chi,5
chi,7,0.857,0.852,0.862,0.979,chi,5
chi,8,0.833,0.809,0.858,0.977,chi,5
chi,9,0.855,0.842,0.869,0.981,chi,5
chi,10,0.861,0.853,0.869,0.981,chi,5
chi,11,0.855,0.843,0.868,0.98,chi,5
chi,12,0.854,0.84,0.868,0.98,chi,5
chi,13,0.859,0.864,0.854,0.981,chi,5
chi,14,0.853,0.838,0.868,0.98,chi,5
chi,15,0.85,0.849,0.851,0.979,chi,5
chi,16,0.851,0.836,0.868,0.981,chi,5
chi,17,0.855,0.851,0.86,0.98,chi,5
chi,18,0.857,0.852,0.862,0.98,chi,5
chi,19,0.859,0.851,0.868,0.98,chi,5
chi,20,0.861,0.853,0.869,0.981,chi,5
hrv,1,0.874,0.906,0.844,0.984,chi,2
hrv,2,0.881,0.902,0.861,0.985,chi,2
hrv,3,0.885,0.905,0.866,0.985,chi,2
hrv,4,0.881,0.923,0.842,0.985,chi,2
hrv,5,0.882,0.923,0.844,0.985,chi,2
hrv,6,0.877,0.916,0.841,0.984,chi,2
hrv,7,0.876,0.91,0.845,0.983,chi,2
hrv,8,0.864,0.902,0.829,0.982,chi,2
hrv,9,0.877,0.915,0.841,0.983,chi,2
hrv,10,0.875,0.907,0.846,0.984,chi,2
hrv,11,0.876,0.914,0.841,0.984,chi,2
hrv,12,0.873,0.91,0.839,0.983,chi,2
hrv,13,0.87,0.912,0.832,0.983,chi,2
hrv,14,0.871,0.908,0.837,0.982,chi,2
hrv,15,0.873,0.914,0.835,0.983,chi,2
hrv,16,0.87,0.903,0.839,0.982,chi,2
hrv,17,0.874,0.913,0.837,0.983,chi,2
hrv,18,0.87,0.908,0.835,0.983,chi,2
hrv,19,0.87,0.907,0.836,0.983,chi,2
hrv,20,0.873,0.91,0.839,0.983,chi,2
srb,1,0.881,0.915,0.849,0.982,chi,2
srb,2,0.887,0.904,0.87,0.982,chi,2
srb,3,0.893,0.918,0.87,0.983,chi,2
srb,4,0.893,0.94,0.851,0.983,chi,2
srb,5,0.893,0.94,0.851,0.983,chi,2
srb,6,0.885,0.93,0.844,0.981,chi,2
srb,7,0.885,0.922,0.851,0.982,chi,2
srb,8,0.868,0.909,0.831,0.98,chi,2
srb,9,0.876,0.915,0.841,0.981,chi,2
srb,10,0.884,0.919,0.851,0.981,chi,2
srb,11,0.868,0.907,0.832,0.981,chi,2
srb,12,0.87,0.911,0.833,0.981,chi,2
srb,13,0.868,0.912,0.828,0.98,chi,2
srb,14,0.867,0.903,0.834,0.98,chi,2
srb,15,0.874,0.919,0.834,0.98,chi,2
srb,16,0.872,0.911,0.836,0.98,chi,2
srb,17,0.873,0.916,0.833,0.98,chi,2
srb,18,0.868,0.908,0.832,0.979,chi,2
srb,19,0.869,0.91,0.832,0.98,chi,2
srb,20,0.869,0.908,0.833,0.98,chi,2
dan,1,0.83,0.836,0.823,0.986,chi,1
dan,2,0.826,0.814,0.839,0.986,chi,1
dan,3,0.841,0.825,0.857,0.987,chi,1
dan,4,0.845,0.854,0.836,0.987,chi,1
dan,5,0.842,0.846,0.839,0.988,chi,1
dan,6,0.829,0.84,0.818,0.986,chi,1
dan,7,0.848,0.843,0.852,0.988,chi,1
dan,8,0.836,0.836,0.836,0.987,chi,1
dan,9,0.842,0.838,0.847,0.987,chi,1
dan,10,0.837,0.833,0.842,0.987,chi,1
dan,11,0.83,0.836,0.823,0.986,chi,1
dan,12,0.839,0.839,0.839,0.988,chi,1
dan,13,0.833,0.845,0.821,0.987,chi,1
dan,14,0.83,0.831,0.829,0.987,chi,1
dan,15,0.838,0.843,0.834,0.987,chi,1
dan,16,0.842,0.832,0.852,0.988,chi,1
dan,17,0.838,0.835,0.842,0.987,chi,1
dan,18,0.845,0.848,0.842,0.987,chi,1
dan,19,0.841,0.836,0.847,0.987,chi,1
dan,20,0.844,0.838,0.849,0.988,chi,1
slk,1,0.763,0.735,0.794,0.965,dan,2
slk,2,0.803,0.808,0.799,0.971,dan,2
slk,3,0.809,0.8,0.817,0.973,dan,2
slk,4,0.797,0.759,0.838,0.97,dan,2
slk,5,0.8,0.78,0.822,0.972,dan,2
slk,6,0.805,0.773,0.84,0.972,dan,2
slk,7,0.808,0.793,0.824,0.971,dan,2
slk,8,0.803,0.774,0.833,0.971,dan,2
slk,9,0.808,0.786,0.831,0.972,dan,2
slk,10,0.818,0.795,0.842,0.973,dan,2
slk,11,0.812,0.785,0.842,0.972,dan,2
slk,12,0.813,0.783,0.844,0.972,dan,2
slk,13,0.817,0.792,0.844,0.973,dan,2
slk,14,0.802,0.78,0.826,0.97,dan,2
slk,15,0.809,0.782,0.838,0.973,dan,2
slk,16,0.811,0.788,0.835,0.972,dan,2
slk,17,0.817,0.789,0.847,0.972,dan,2
slk,18,0.811,0.781,0.842,0.973,dan,2
slk,19,0.815,0.788,0.844,0.972,dan,2
slk,20,0.812,0.785,0.842,0.973,dan,2
eng,1,0.687,0.655,0.723,0.965,dan,1
